gene_name	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MGST1	ENSG00000008394.13	9321.49977221469	-1.25710595169303	0.685559185888333	-1.8336942711432	0.06669938949808	0.287048513321769
CRY1	ENSG00000008405.12	730.225985298785	-0.99571530456045	0.518212861811378	-1.92144073977631	0.0546761666025779	0.254221256548322
NFIX	ENSG00000008441.19	2550.38118358916	-0.444926719000593	0.561917687789264	-0.79180052286849	0.428476997422064	0.727990655643126
ST3GAL1	ENSG00000008513.17	2034.8912086219	0.0906744776026596	0.424176605380582	0.213765861795476	0.830729647919151	0.941506534645408
MMP25	ENSG00000008516.18	235.924308007401	1.32156636805226	0.489568628838152	2.69945068005809	0.00694540495458143	0.0696046468654284
IL32	ENSG00000008517.19	1070.57847337613	-1.75051913352292	0.447248366450465	-3.91397546606087	9.07888642926485e-05	0.00269891796883445
PKD1	ENSG00000008710.20	3976.04169955711	-0.108186731352083	0.365469136751315	-0.296021525411869	0.767213642805761	0.914936388128609
MAPK8IP2	ENSG00000008735.14	353.917877339036	0.414069269156335	0.428504619183674	0.966312265070002	0.33388795057578	0.653909439897246
MED24	ENSG00000008838.21	3097.28186815835	-0.731129511735169	0.374897188300252	-1.95021337729963	0.0511506920188419	0.244746668343544
RHOBTB2	ENSG00000008853.18	1488.3658603109	0.805130058579067	0.548893095127269	1.46682489855768	0.142423694647856	0.440243433201302
HEATR5B	ENSG00000008869.12	883.390631642823	0.76755352465758	0.455999312265808	1.68323395235772	0.0923298105480861	0.346071883058399
SEC62	ENSG00000008952.17	3920.75022484422	0.586032500250443	0.469241857622501	1.24889220927494	0.211704501489459	0.534826624533235
RPS20	ENSG00000008988.11	59482.8236073677	1.18582036681166	0.500359175718405	2.3699382850511	0.0177910546548914	0.128913756237683
CSDE1	ENSG00000009307.17	21447.9828818424	0.145101594716814	0.413333113201488	0.351052432245082	0.725549013162627	0.897035544440463
UBE3C	ENSG00000009335.19	4324.30903930841	-0.756999508285041	0.416801881246766	-1.81620943269415	0.0693382516806027	0.29329174622249
REV3L	ENSG00000009413.17	805.795415561973	0.54318496481245	0.445872038288024	1.21825303712265	0.223127830506265	0.549136782821423
PAX7	ENSG00000009709.12	144.499419825544	0.0862770344899818	0.917908776187379	0.0939930380100969	0.9251146871162	0.975858290798421
MASP2	ENSG00000009724.18	51.8303381292545	0.424887986634309	0.790231544407651	0.537675304967483	0.59080123107002	0.829017890525605
FAM76A	ENSG00000009780.16	317.131098989084	0.232667789663122	0.490228198568593	0.474611191976478	0.635064127522564	0.852607694913291
POMT2	ENSG00000009830.13	1986.80328978296	0.0723118628189083	0.395420178974594	0.182873476529265	0.854897294587793	0.950746940525074
VTA1	ENSG00000009844.16	1701.82591949069	-0.689912360415884	0.399256944314676	-1.72799088466731	0.0839898586251032	0.327181489756601
MLXIPL	ENSG00000009950.16	123.695607119944	1.43234820629252	0.578881798576541	2.47433622859561	0.0133484005217332	0.109332975075057
BAZ1B	ENSG00000009954.11	5711.88096842505	-0.650969869357194	0.434818935000899	-1.49710561559572	0.134365778806276	0.427274354923934
RANBP9	ENSG00000010017.13	1195.23470628003	-0.168028754595585	0.372400721868808	-0.45120415919811	0.651842412270812	0.860753794435097
ETV7	ENSG00000010030.14	17.4734399201836	-1.35274788213615	1.20899507956664	-1.11890271929067	0.263181642763742	0.590225998942276
SPRTN	ENSG00000010072.16	412.34220380292	-0.628186101090967	0.499857557408052	-1.25673022600348	0.208851339167581	0.531213600094483
